question_id,type,creation_date,link,score
71443293,exception_based,2022-03-11 15:44:09,https://stackoverflow.com/questions/71443293/app-requires-multidex-support-in-flutter,27
55087292,exception_based,2019-03-10 08:42:35,https://stackoverflow.com/questions/55087292/how-to-handle-http-2-goaway-with-java-net-httpclient,26
57549163,exception_based,2019-08-18 20:50:28,https://stackoverflow.com/questions/57549163/flutter-unsupported-operation-cannot-add-to-an-unmodifiable-list,25
58686400,exception_based,2019-11-03 23:13:44,https://stackoverflow.com/questions/58686400/can-not-get-pytorch-working-with-tensorboard,25
59713392,exception_based,2020-01-13 06:05:29,https://stackoverflow.com/questions/59713392/adding-custom-middleware-not-working-when-using-imiddleware,25
69223128,exception_based,2021-09-17 09:04:21,https://stackoverflow.com/questions/69223128/android-12-foreground-service-launch-restrictions,24
77130764,exception_based,2023-09-18 19:45:03,https://stackoverflow.com/questions/77130764/why-is-optimization-forbidden-if-a-c-compiler-cannot-prove-lack-of-ub,24
76461596,exception_based,2023-06-13 00:52:30,https://stackoverflow.com/questions/76461596/unable-to-use-selenium-webdriver-getting-two-exceptions,24
59682833,exception_based,2020-01-10 10:38:49,https://stackoverflow.com/questions/59682833/pyarrow-lib-arrowinvalid-casting-from-timestampns-to-timestampms-would-los,24
56539251,exception_based,2019-06-11 05:13:46,https://stackoverflow.com/questions/56539251/backstack-management-restarter-must-be-created-only-during-owners-initializat,24
55982221,exception_based,2019-05-04 08:51:27,https://stackoverflow.com/questions/55982221/unexpected-result-pytest-raises-with-match-parameter-when-asserting-error,24
57601284,exception_based,2019-08-21 23:24:04,https://stackoverflow.com/questions/57601284/java-11-and-12-ssl-sockets-fail-on-a-handshake-failure-error-with-tlsv1-3-enable,23
54679592,exception_based,2019-02-13 19:20:08,https://stackoverflow.com/questions/54679592/handling-exception-in-httpclient-ktor,23
72920577,exception_based,2022-07-09 07:19:34,https://stackoverflow.com/questions/72920577/mach-o-file-but-is-an-incompatible-architecture-have-arm64-need-x86-64,22
65672356,exception_based,2021-01-11 15:12:49,https://stackoverflow.com/questions/65672356/what-is-cxxframehandler4-and-what-does-linker-error-unresolved-external-symbo,22
63663998,exception_based,2020-08-30 23:27:36,https://stackoverflow.com/questions/63663998/why-does-kotlin-result-catch-throwables,22
55334879,exception_based,2019-03-25 06:38:08,https://stackoverflow.com/questions/55334879/why-does-the-compiler-allow-throws-when-the-method-will-never-throw-the-exceptio,22
68682450,exception_based,2021-08-06 10:31:45,https://stackoverflow.com/questions/68682450/automatic-conversion-of-numbers-to-bools-migrating-from-newtonsoft-to-system-t,21
63944765,exception_based,2020-09-17 16:10:05,https://stackoverflow.com/questions/63944765/marking-a-function-noexcept-that-could-cause-an-exception-constructing-the-ret,21
57234628,exception_based,2019-07-27 14:43:42,https://stackoverflow.com/questions/57234628/socket-gaierror-errno-2-name-or-service-not-known-python,21
54298550,exception_based,2019-01-21 20:20:16,https://stackoverflow.com/questions/54298550/attributeerror-when-using-columntransformer-into-a-pipeline,21
77549493,exception_based,2023-11-25 17:28:44,https://stackoverflow.com/questions/77549493/modulenotfounderror-no-module-named-jupyter-server-contents,20
58993405,exception_based,2019-11-22 08:31:15,https://stackoverflow.com/questions/58993405/how-can-i-handle-typeorm-error-in-nestjs,20
57146395,exception_based,2019-07-22 09:47:53,https://stackoverflow.com/questions/57146395/how-to-trigger-application-shutdown-from-a-service-in-nest-js,20
56453690,exception_based,2019-06-04 23:50:50,https://stackoverflow.com/questions/56453690/hibernate-thread-safe-idempotent-upsert-without-constraint-exception-handling,20
62562258,exception_based,2020-06-24 15:59:03,https://stackoverflow.com/questions/62562258/spring-boot-restcontroller-on-error-status-response-body-message-of-error-is-e,19
57445171,exception_based,2019-08-10 16:37:50,https://stackoverflow.com/questions/57445171/redis-ioredis-unable-to-catch-connection-error-in-order-to-handle-them-grace,19
55406735,exception_based,2019-03-28 17:56:30,https://stackoverflow.com/questions/55406735/can-a-postgres-commit-exist-in-procedure-that-has-an-exception-block,19
54093020,exception_based,2019-01-08 11:36:08,https://stackoverflow.com/questions/54093020/no-module-named-pandas-libs-tslib,19
66576755,exception_based,2021-03-11 02:01:52,https://stackoverflow.com/questions/66576755/io-reactivex-exceptions-undeliverableexception-the-exception-could-not-be-delive,18
62274069,exception_based,2020-06-08 23:29:28,https://stackoverflow.com/questions/62274069/aws-lambda-access-secrets-manager-from-within-vpc,18
60648984,exception_based,2020-03-12 03:54:44,https://stackoverflow.com/questions/60648984/handling-exception-http-request-flutter,18
56886442,exception_based,2019-07-04 07:56:31,https://stackoverflow.com/questions/56886442/error-when-trying-to-rename-a-pretrained-model-on-tf-keras,18
74264850,exception_based,2022-10-31 11:30:21,https://stackoverflow.com/questions/74264850/localbroadcastmanager-is-now-deprecated-how-to-send-data-from-service-to-activi,17
73332533,exception_based,2022-08-12 07:12:25,https://stackoverflow.com/questions/73332533/django-4-error-no-time-zone-found-with-key,17
69126879,exception_based,2021-09-10 00:26:30,https://stackoverflow.com/questions/69126879/typescript-deep-keyof-of-a-nested-object-with-related-type,17
68846785,exception_based,2021-08-19 08:14:40,https://stackoverflow.com/questions/68846785/flutter-show-snackbar-without-context,17
65295958,exception_based,2020-12-14 17:23:26,https://stackoverflow.com/questions/65295958/docker-compose-not-working-with-gcloud-cannot-find-openssl,17
64933345,exception_based,2020-11-20 13:38:04,https://stackoverflow.com/questions/64933345/badhttprequestexception-reading-the-request-body-timed-out-due-to-data-arriving,17
62830862,exception_based,2020-07-10 06:04:14,https://stackoverflow.com/questions/62830862/how-to-install-python3-8-on-debian-10,17
60111182,exception_based,2020-02-07 07:04:51,https://stackoverflow.com/questions/60111182/flutter-flutter-firebase-crashlytics-not-showing-for-ios,17
56973265,exception_based,2019-07-10 11:46:51,https://stackoverflow.com/questions/56973265/what-does-express-async-handler-do,17
55647358,exception_based,2019-04-12 05:21:59,https://stackoverflow.com/questions/55647358/how-do-i-solve-error-dotenv-installation-error-on-pycharm,17
54485148,exception_based,2019-02-01 16:23:19,https://stackoverflow.com/questions/54485148/ssl-connection-error-while-using-mysql-connector-with-python,17
72488563,exception_based,2022-06-03 07:54:18,https://stackoverflow.com/questions/72488563/blazor-server-side-application-throwing-system-invalidoperationexception-javas,16
68624314,exception_based,2021-08-02 12:32:29,https://stackoverflow.com/questions/68624314/do-asynchronous-context-managers-need-to-protect-their-cleanup-code-from-cancell,16
67177271,exception_based,2021-04-20 07:39:01,https://stackoverflow.com/questions/67177271/how-to-handle-activity-onactivityresult-with-jetpack-compose,16
60690209,exception_based,2020-03-15 03:08:02,https://stackoverflow.com/questions/60690209/asp-net-core-operations-that-change-non-concurrent-collections-must-have-exclu,16
59790087,exception_based,2020-01-17 12:13:49,https://stackoverflow.com/questions/59790087/flutter-firebase-google-sign-in-not-working-stops-after-account-selection,16
57284058,exception_based,2019-07-31 02:50:09,https://stackoverflow.com/questions/57284058/what-is-the-best-practice-for-restcontroller,16
73865881,exception_based,2022-09-27 07:12:38,https://stackoverflow.com/questions/73865881/whats-the-proper-way-to-add-spring-security-filter-only-for-specific-url,15
66030444,exception_based,2021-02-03 12:20:17,https://stackoverflow.com/questions/66030444/dealing-with-lack-of-non-null-assertion-operator-in-python,15
63830786,exception_based,2020-09-10 10:30:35,https://stackoverflow.com/questions/63830786/is-enableretryonfailure-valid-way-for-solving-database-deadlocks-does-it-have,15
